id,folder_name,title,difficulty,tags,active,topic,module_id
q1,question_01,Visualize relationships between customer attributes for early risk analysis,Medium,"pandas, seaborn, eda",True,Data Visualization Basics,math_stats
q2,question_02,Detect unusual transaction spikes using rolling averages,Medium,"time_series, rolling_mean, anomaly",True,Data Visualization Basics,math_stats
q3,question_03,Generate statistical summary of customer spend,Easy,"mean, median, variance",True,Measure of Central Tendency & Dispersion,math_stats
q4,question_04,Calculate customer conversion probabilities for a multi-channel marketing campaign,Hard,"probability, conditional-probability, bayes-theorem, combinatorics",True,Probability Theory,math_stats
q5,question_05,Test if a new website design significantly improves user conversion rate,Hard,"hypothesis-testing, p-value, statistical-inference, type-errors",True,Hypothesis Testing,math_stats
q6,question_06,Build a flexible pricing function for an e-commerce checkout system,Easy,"python, functions, args, kwargs, lambda",True,Python Functions and Arguments,python
q7,question_07,Generate a sales summary report from a transaction log file,Easy,"python, file-handling, dictionary, data-processing",True,File Handling and Dictionaries,python
q9,question_09,Build a discount calculator using inheritance with input validation,Medium,"python, oop, inheritance, exception-handling",True,Python Inheritance and Exception Handling,python
